Allocated VM RAM
0 4400 1924
1 5428 2980
2 6456 4036
3 7484 5092
4 8512 6148
5 9540 7204
6 10568 8260
7 11596 9316
8 12624 10372
9 13652 11164
10 14680 12220
11 15708 13276
12 16736 14332
13 17764 15388
14 18792 16444
15 19820 17500
16 20848 18556
17 21876 19348
18 22904 20404
19 23932 21460
20 24960 22516
21 25988 23572
22 27016 24628
23 28044 25684
24 29072 26740
25 30100 27532
26 31128 28588
27 32156 29644
28 33184 30700
29 34212 31756
30 35240 32812
31 36268 33868
32 37296 34924
33 38324 35716
34 39352 36772
35 40380 37828
36 41408 38884
37 42436 39940
38 43464 40996
39 44492 42052
40 45520 43108
41 46548 44164
42 47576 44956
43 48604 46012
44 49632 47068
45 50660 48124
46 51688 49180
47 52716 50236
48 53744 51292
49 54772 41152
50 55800 42168
51 56828 43224
52 57856 44280
53 58884 45336
54 59912 46128
55 60940 47184
56 61968 48240
57 62996 49296
58 64024 50352
59 65052 51408
60 66080 50044
61 67108 51100
62 68136 51892
63 69164 44348
64 70192 45404
65 71220 46460
66 72248 47516
67 73276 48572
68 74304 49628
69 75332 50684
70 76360 51740
71 77388 50124
72 78416 51180
73 79444 49596
74 80472 50652
