Allocated VM RAM
0 4400 1924
1 5428 2980
2 6456 4036
3 7484 5092
4 8512 6148
5 9540 7204
6 10568 8260
7 11596 9316
8 12624 10372
9 13652 11164
10 14680 12220
11 15708 13276
12 16736 14332
13 17764 15388
14 18792 16444
15 19820 17500
16 20848 18556
17 21876 19348
18 22904 20404
19 23932 21460
20 24960 22516
21 25988 23572
22 27016 24628
23 28044 25684
24 29072 26740
25 30100 27532
26 31128 28588
27 32156 29644
28 33184 30700
29 34212 31756
30 35240 32812
31 36268 33868
32 37296 34924
33 38324 35980
34 39352 36772
35 40380 37828
36 41408 38884
37 42436 39940
38 43464 40996
39 44492 42052
40 45520 43108
41 46548 44164
42 47576 44956
43 48604 46012
44 49632 47068
45 50660 48124
46 51688 49180
47 52716 50236
48 53744 51292
49 54772 41016
50 55800 30360
51 56828 31416
52 57856 32472
53 58884 33528
54 59912 34584
55 60940 35640
56 61968 36696
57 62996 37752
58 64024 38544
59 65052 39600
60 66080 40656
61 67108 41712
62 68136 42768
63 69164 43824
64 70192 44880
65 71220 45936
66 72248 46992
67 73276 47784
68 74304 48840
69 75332 49896
70 76360 50952
71 77388 52008
72 78416 27472
73 79444 28528
74 80472 29584
75 81500 30376
76 82528 31432
77 83556 32488
78 84584 33544
79 85612 34600
80 86640 35656
81 87668 36712
82 88696 37768
83 89724 38560
84 90752 39616
85 91780 40672
86 92808 41728
87 93836 42784
88 94864 43840
89 95892 44896
90 96920 45952
91 97948 46744
92 98976 47800
93 100004 48856
94 101032 49912
95 102060 50968
96 103088 52024
97 104116 27196
98 105144 28252
99 106172 29308
100 107200 30100
101 108228 31156
102 109256 32212
103 110284 33268
104 111312 34324
105 112340 35380
106 113368 36436
107 114396 37492
108 115424 38284
109 116452 39340
110 117480 40396
111 118508 41452
112 119536 42508
113 120564 43564
114 121592 44620
115 122620 45676
116 123648 46468
117 124676 47524
118 125704 48580
119 126732 49636
120 127760 50692
121 128788 51748
122 129816 36656
123 130844 37712
124 131872 38504
125 132900 39560
126 133928 40616
127 134956 41672
128 135984 42728
129 137012 43784
130 138040 44840
131 139068 45896
132 140096 46952
133 141124 47744
134 142152 48800
135 143180 49856
136 144208 50912
137 145236 51968
138 146264 41768
139 147292 42824
140 148320 43880
141 149348 44672
142 150376 45728
143 151404 46784
144 152432 47840
145 153460 48896
146 154488 49952
147 155516 51008
148 156544 52064
149 157572 39828
150 158600 40884
151 159628 41940
152 160656 42996
153 161684 44052
154 162712 45108
155 163740 46164
156 164768 47220
157 165796 48012
158 166824 49068
159 167852 50124
160 168880 51180
161 169908 40176
162 170936 41232
163 171964 42288
164 172992 43344
165 174020 44400
166 175048 45192
167 176076 46248
168 177104 47304
169 178132 48360
170 179160 49416
171 180188 50472
172 181216 51528
173 182244 42088
174 183272 42880
