GraphName GenerateTime SaveTime FileSize
dense1000.graph 0.30 0.65 259
dense2000.graph 0.112 0.206 955
dense3000.graph 0.311 0.535 2602
dense4000.graph 0.857 1.381 6838
dense5000.graph 0.983 1.518 7644
dense6000.graph 2.320 3.242 15982
dense7000.graph 3.285 4.280 21394
dense8000.graph 2.390 3.42 15233
dense9000.graph 6.507 7.350 37856
dense10000.graph 5.803 6.426 33169
dense11000.graph 6.341 6.891 36037
dense12000.graph 9.368 9.660 50777
dense13000.graph 15.379 14.428 77993
dense14000.graph 12.584 12.263 67084
dense15000.graph 22.222 20.216 111545
dense16000.graph 19.353 17.455 97635
dense17000.graph 28.216 23.884 135135
dense18000.graph 19.327 16.904 96258
dense19000.graph 31.857 26.757 153803
dense20000.graph 27.760 23.474 133432
