GraphName GenerateTime SaveTime FileSize
metric1000.graph 0.875 0.67 266
metric2000.graph 3.481 0.253 1208
metric3000.graph 8.120 0.570 2822
metric4000.graph 14.671 1.15 5112
metric5000.graph 22.870 1.617 8067
metric6000.graph 33.609 2.329 11702
metric7000.graph 46.297 3.109 16007
metric8000.graph 60.684 4.56 20979
metric9000.graph 77.38 5.81 26634
metric10000.graph 95.844 6.554 32959
metric11000.graph 116.437 7.777 40687
metric12000.graph 139.85 9.131 49223
metric13000.graph 164.589 10.813 58551
metric14000.graph 192.996 12.342 68734
metric15000.graph 221.819 14.363 79702
metric16000.graph 253.81 16.333 91453
metric17000.graph 286.872 18.444 104063
metric18000.graph 318.691 21.52 117415
metric19000.graph 359.216 23.71 131627
metric20000.graph 400.433 25.467 146613
