Nodes FileSize LoadTime VM RAM SP NCC LCC GCC MST
1000 266 0.61 88992.0 43968.0 0.0 0.0 0.0 0.0 0.0
2000 1208 0.142 92228.0 47144.0 0.0 0.0 0.0 0.0 0.0
3000 2822 0.348 98528.0 53444.0 0.0 0.0 0.0 0.0 0.0
4000 5112 0.680 110368.0 65264.0 0.0 0.0 0.0 0.0 0.0
5000 8067 1.73 124032.0 78992.0 0.0 0.0 0.0 0.0 0.0
6000 11702 1.623 141360.0 96264.0 0.0 0.0 0.0 0.0 0.0
7000 16007 2.310 167088.0 121952.0 0.0 0.0 0.0 0.0 0.0
8000 20979 4.116 178176.0 124524.0 0.0 0.0 0.0 0.0 0.0
9000 26634 7.161 209772.0 137472.0 0.86 0.0 0.0 0.0 0.0
10000 32959 9.224 216644.0 160864.0 0.2 0.0 0.0 0.0 0.0
11000 40687 13.426 274736.0 160224.0 0.55 0.0 0.0 0.0 0.0
12000 49223 16.419 295856.0 108344.0 0.122 0.0 0.0 0.0 0.0
13000 58551 20.236 359956.0 166160.0 0.97 0.0 0.0 0.0 0.0
14000 68734 26.98 368404.0 167568.0 0.76 0.0 0.0 0.0 0.0
15000 79702 28.652 378184.0 165384.0 0.105 0.0 0.0 0.0 0.0
16000 91453 37.285 503936.0 165924.0 0.89 0.0 0.0 0.0 0.0
17000 104063 43.782 546864.0 144536.0 0.69 0.0 0.0 0.0 0.0
18000 117415 62.551 559264.0 119204.0 0.165 0.0 0.0 0.0 0.0
19000 131627 53.699 571664.0 163580.0 0.90 0.5 0.1 0.6 0.0
20000 146613 71.548 709672.0 167536.0 0.84 0.0 0.0 0.0 0.0
