GraphName GenerateTime SaveTime FileSize
random1000.graph 0,8 0.0 2
random2000.graph 0,42 0.36 165
random3000.graph 0,113 0.121 563
random4000.graph 0,357 0.543 2591
random5000.graph 0,210 0.7 36
random6000.graph 0,447 0.408 2044
random7000.graph 0,808 0.917 4700
random8000.graph 0,638 0.362 1869
random9000.graph 3,281 3.985 20211
random10000.graph 1,962 2.119 10917
random11000.graph 1,120 0.395 2034
random12000.graph 1,812 1.375 7303
random13000.graph 1,732 0.865 4658
random14000.graph 1,704 0.352 1935
random15000.graph 11,74 10.803 58798
random16000.graph 2,118 0.86 442
random17000.graph 2,530 0.482 2642
random18000.graph 2,814 0.238 1272
random19000.graph 11,150 9.586 54233
random20000.graph 3,568 0.809 4524
