Nodes FileSize LoadTime VM RAM SP NCC LCC GCC MST
1000 2 0.51 87560.0 42480.0 0.0 0.0 0.0 0.0 0.0
2000 165 0.51 88212.0 43172.0 0.0 0.0 0.0 0.0 0.0
3000 563 0.88 90356.0 45192.0 0.0 0.0 0.0 0.0 0.0
4000 2591 0.285 98224.0 53132.0 0.0 0.0 0.0 0.0 0.0
5000 36 0.28 90744.0 45708.0 0.0 0.0 0.0 0.0 0.0
6000 2044 0.231 95088.0 50052.0 0.0 0.0 0.0 0.0 0.0
7000 4700 0.490 106036.0 60904.0 0.0 0.0 0.0 0.0 0.0
8000 1869 0.186 100608.0 55476.0 0.0 0.0 0.0 0.0 0.0
9000 20211 2.888 164872.0 118620.0 0.25 0.0 0.0 0.0 0.0
10000 10917 1.446 156436.0 106364.0 0.0 0.0 0.0 0.0 0.0
11000 2034 0.250 125380.0 75312.0 0.0 0.0 0.0 0.0 0.0
12000 7303 0.753 135696.0 85628.0 0.0 0.0 0.0 0.0 0.0
13000 4658 0.439 130808.0 80740.0 0.0 0.0 0.0 0.0 0.0
14000 1935 0.203 125380.0 75312.0 0.0 0.0 0.0 0.0 0.0
15000 58798 19.215 331952.0 113060.0 1.7 0.9 0.5 0.16 0.0
16000 442 8.427 140420.0 74952.0 0.7 0.0 0.0 0.0 0.0
17000 2642 0.464 146076.0 81464.0 0.0 0.0 0.0 0.0 0.0
18000 1272 0.178 139560.0 75112.0 0.1 0.0 0.0 0.0 0.0
19000 54233 15.724 267360.0 142080.0 1.385 0.29 0.0 0.0 0.0
20000 4524 8.262 155360.0 90216.0 0.12 0.0 0.0 0.0 0.0
