GraphName GenerateTime SaveTime FileSize
sparse1000.graph 0.8 0.2 7
sparse2000.graph 0.38 0.18 80
sparse3000.graph 0.79 0.15 73
sparse4000.graph 0.145 0.57 261
sparse5000.graph 0.213 0.46 230
sparse6000.graph 0.316 0.84 420
sparse7000.graph 0.433 0.127 652
sparse8000.graph 0.520 0.33 165
sparse9000.graph 0.717 0.129 644
sparse10000.graph 0.954 0.422 2203
sparse11000.graph 1.211 0.449 2397
sparse12000.graph 1.304 0.386 2051
sparse13000.graph 1.673 0.731 3880
sparse14000.graph 1.841 0.605 3268
sparse15000.graph 2.164 0.814 4405
sparse16000.graph 2.190 0.307 1616
sparse17000.graph 2.888 1.157 6449
sparse18000.graph 2.948 0.719 3998
sparse19000.graph 3.426 0.916 5149
sparse20000.graph 3.405 0.359 2038
