Nodes FileSize LoadTime VM RAM SP NCC LCC GCC MST
1000 7 0.214 87620.0 24132.0 0.0 0.0 0.0 0.0 0.0
2000 80 0.26 88240.0 24624.0 0.0 0.0 0.0 0.0 0.0
3000 73 0.31 88520.0 24796.0 0.0 0.0 0.0 0.0 0.0
4000 261 0.67 89232.0 25744.0 0.0 0.0 0.0 0.0 0.0
5000 230 0.90 89232.0 25744.0 0.0 0.0 0.0 0.0 0.0
6000 420 0.71 90444.0 26768.0 0.0 0.0 0.0 0.0 0.0
7000 652 0.102 91088.0 27580.0 0.0 0.0 0.0 0.0 0.0
8000 165 0.33 89900.0 26032.0 0.0 0.0 0.0 0.0 0.0
9000 644 0.75 91096.0 27608.0 0.0 0.0 0.0 0.0 0.0
10000 2203 0.496 97972.0 34372.0 0.0 0.0 0.0 0.0 0.0
11000 2397 0.354 99720.0 36204.0 0.0 0.0 0.0 0.0 0.0
12000 2051 0.294 97548.0 34032.0 0.0 0.0 0.0 0.0 0.0
13000 3880 0.466 104428.0 40936.0 0.0 0.0 0.0 0.0 0.0
14000 3268 0.346 102380.0 38792.0 0.0 0.0 0.0 0.0 0.0
15000 4405 0.389 106488.0 42908.0 0.0 0.0 0.0 0.0 0.0
16000 1616 0.281 101060.0 37480.0 0.0 0.0 0.0 0.0 0.0
17000 6449 0.598 111772.0 48244.0 0.0 0.0 0.0 0.0 0.0
18000 3998 0.346 108580.0 45048.0 0.0 0.0 0.0 0.0 0.0
19000 5149 0.468 108580.0 45048.0 0.0 0.0 0.0 0.0 0.0
20000 2038 0.234 103152.0 39664.0 0.0 0.0 0.0 0.0 0.0
